bibkg_id,wikidata_id,other_wikidata_ids,dblp_id,DBLP publication ID,DBLP venue ID,DBLP event ID,DOI,arXiv ID,ieeeXplore,hdl.handle,d-nb.info,ACM Classification Code,ACM Digital Library citation ID,ACM Digital Library event ID,ethos,ISBN-10,ISBN-13,DBLP author ID,ORCID ID,Google Scholar ID
a_Catherine_Loader,Q102196708,,homepages/42/6433,,,,,,,,,,,,,,,42/6433,,
a_Leonard_Pitt,Q102196742,,homepages/76/4781,,,,,,,,,,,,,,,76/4781,,
a_Constantine_D__Polychronopoulos,Q102196893,,homepages/62/2624,,,,,,,,,,,,,,,62/2624,,
a_Dale_Schouten,Q102197052,,homepages/39/5208,,,,,,,,,,,,,,,39/5208,,
a_William_B__Thompson,Q102197323,,homepages/t/WilliamBThompson,,,,,,,,,,,,,,,t/WilliamBThompson,,
a_Vincenzo_Acciaro,Q102197573,,homepages/a/VincenzoAcciaro,,,,,,,,,,,,,,,a/VincenzoAcciaro,0000-0001-5824-3935,
a_Agostino_Nobile,Q102198154,,homepages/24/6130,,,,,,,,,,,,,,,24/6130,,
a_Matthew_Nicol,Q102206606,,homepages/22/1353,,,,,,,,,,,,,,,22/1353,,
a_Howard_Becker,Q102211219,,homepages/72/2010,,,,,,,,,,,,,,,72/2010,,
a_Samuel_D__Oman,Q102211324,,homepages/97/8018,,,,,,,,,,,,,,,97/8018,,
a_Paul_C__Gilmore,Q102213567,,homepages/67/5546,,,,,,,,,,,,,,,67/5546,,
a_J_uuml_rgen_Dingel,Q102215463,,homepages/20/3440,,,,,,,,,,,,,,,20/3440,,
a_Daniele_Debertol,Q102218197,,homepages/247/4454,,,,,,,,,,,,,,,247/4454,,
a_Jeffrey_M__Vanderkam,Q102225062,,homepages/84/2062,,,,,,,,,,,,,,,84/2062,,
a_Stephen_Soderland,Q102229121,,homepages/95/3490,,,,,,,,,,,,,,,95/3490,,
a_Gary_J__Grimes,Q102229256,,homepages/37/1169,,,,,,,,,,,,,,,37/1169,,
a_Ka_iuml_s_Ammari,Q102229756,,homepages/36/8149,,,,,,,,,,,,,,,36/8149,0000-0003-2920-4106,
a_Michel_H__Geoffroy,Q102230128,,homepages/88/7173,,,,,,,,,,,,,,,88/7173,0000-0003-0253-3209,
