Fuente,Count
http://www.mulberrytech.com,168
http://seer.lcc.ufmg.br,165
http://www.ibai-publishing.org,164
http://hal.archives-ouvertes.fr,164
http://etheses.bham.ac.uk,164
http://www.dagstuhl.de,163
http://www.acm.org,161
http://www.comp.nus.edu.sg,158
http://polibits.cidetec.ipn.mx,157
https://ijsdir.sadl.kuleuven.be,156
http://www.cse.iitb.ac.in,156
http://eprints.nottingham.ac.uk,154
http://www.collegepublications.co.uk,153
http://www.actapress.com,153
https://www.scpe.org,152
http://eprints.aston.ac.uk,152
https://shonan.nii.ac.jp,150
http://www.w3.org,149
http://www.jips-k.org:80,149
http://cs.anu.edu.au,148
http://elib.tu-darmstadt.de,148
http://repositorio.unb.br,148
http://xtf-prod.stanford.edu,147
https://ijcopi.org,146
https://content.iospress.com,145
https://tacl2013.cs.columbia.edu,142
http://www.atala.org,140
http://www.dirf.org,140
http://www2.warwick.ac.uk,140
http://elib.suub.uni-bremen.de,140
http://mediatum2.ub.tum.de,140
http://www.info.uaic.ro,138
http://www.tdp.cat,138
http://www.ub.uni-heidelberg.de,138
http://cjtcs.cs.uchicago.edu,137
http://dh2010.cch.kcl.ac.uk,137
http://www.iajit.org,136
http://edoc.hu-berlin.de,136
http://www.springer.com,135
http://ismir2011.ismir.net,134
http://www.diss.fu-berlin.de,133
https://www.sciencedirect.com,131
http://tumb1.biblio.tu-muenchen.de,131
http://wp.internetsociety.org,131
http://www.db-thueringen.de,130
http://www.ceas.cc,129
http://dspace.library.uu.nl:8080,128
http://vts.uni-ulm.de,127
http://ismir2007.ismir.net,127
http://bura.brunel.ac.uk,127
http://cit.srce.unizg.hr,125
http://www.wi2015.uni-osnabrueck.de,125
http://www.iajet.org,124
http://www.jite.org,124
http://ismir2009.ismir.net,124
http://www.jstage.jst.go.jp,123
http://publications.rwth-aachen.de,122
http://ojps.aip.org,121
http://www.comp.hkbu.edu.hk,121
http://nime.org,121
http://urn.fi,121
http://cit.fer.hr,120
http://www.linguamatica.com,119
http://purl.utwente.nl,119
http://www.biomedcentral.com,118
http://www.colips.org,118
http://ediss.sub.uni-hamburg.de,118
https://educationaldatamining.org,118
https://www.esann.org,118
http://orbilu.uni.lu,117
http://www.maxwell.vrac.puc-rio.br,116
http://eprints.kingston.ac.uk,116
http://www.opus.ub.uni-erlangen.de,115
http://logicandanalysis.org,114
http://archives.ismir.net,114
http://ismir2015.uma.es,114
http://ismir2005.ismir.net,114
http://www.fdg2015.org,114
http://edok01.tib.uni-hannover.de,113
https://wp.nyu.edu,113
http://www.bd.bibl.ita.br,113
http://interval.louisiana.edu,112
http://tinytocs.org,112
http://www.lanoms.org,112
https://publikationen.sulb.uni-saarland.de,112
http://ismir2010.ismir.net,110
http://www.springerlink.com,109
http://www.afnlp.org,109
http://www.cambridge.org,108
http://www.cmis.csiro.au,108
http://www.ams.org,107
http://journal.seriousgamessociety.org,107
http://www.terasoft.com.tw,107
http://www.mt-archive.info,106
http://www.ideals.illinois.edu,105
http://isi.revuesonline.com,105
http://ismir2004.ismir.net,105
http://ismir2008.ismir.net,105
http://www.gatsby.ucl.ac.uk,105
http://mcfns.com,104
http://www.jilp.org,104
http://ismir2018.ircam.fr,104
http://jise.iis.sinica.edu.tw:80,103
http://joi.jlc.jst.go.jp,103
https://kluedo.ub.uni-kl.de,103
http://www.lrdc.pitt.edu,103
http://orca.cf.ac.uk,103
https://www.spiedigitallibrary.org,102
https://elbib.ru,100
http://www.oreilly.com,100
http://ismir2012.ismir.net,100
http://www.aes.org,100
http://www.fdg2013.org,100
http://www.manchester.ac.uk,100
http://www.fedoa.unina.it,100
http://www.sciencedirect.com,99
http://www10.org,99
https://dspace.lboro.ac.uk,99
http://www.jvrb.org,98
http://www.ppgia.pucpr.br,98
http://ajiips.com.au,97
https://ismir2017.smcnus.org,97
http://www.opus-bayern.de,96
http://etheses.dur.ac.uk,96
https://european-lisp-symposium.org,95
http://qmro.qmul.ac.uk,95
http://journals.hil.unb.ca,93
http://dn.revuesonline.com,93
http://sbbd.org.br,93
http://tede2.pucrs.br,93
https://seer.lcc.ufmg.br,92
http://collegepublications.co.uk,92
http://www.iptps.org,91
http://www.vamos-workshop.net,91
http://www.fdg2014.org,91
http://www.lbd.dcc.ufmg.br:8080,90
http://www.simvis.org,89
http://eprints.eemcs.utwente.nl,89
http://www.datenbank-spektrum.de,88
http://conferences.sigcomm.org,88
https://repositorio.ufsc.br,87
https://arima.episciences.org,86
http://edocs.tu-berlin.de,86
http://oops.uni-oldenburg.de,86
http://duepublico.uni-duisburg-essen.de,86
http://elpub.architexturez.net,84
https://amc-journal.eu,83
http://research.microsoft.com,83
http://www.emeraldinsight.com,82
http://www.jbiomedsem.com,82
http://www.informaworld.com,82
http://www.graphicsinterface.org,82
http://www.humanpub.org,81
http://ubdata.uni-paderborn.de,81
http://bieson.ub.uni-bielefeld.de,81
http://www.computationalcreativity.net,81
http://rutcor.rutgers.edu,81
http://pisis.unalmed.edu.co,80
http://elbib.kpfu.ru,80
https://www.ronpub.com,78
http://comad.in,78
http://www.cs.uic.edu,78
http://kar.kent.ac.uk,78
http://eudl.eu,77
http://ijcopi.org,77
http://www.isif.org,77
http://www.freidok.uni-freiburg.de,77
http://conference.iiis.tsinghua.edu.cn,77
http://www.eurocris.org,77
http://eprints.lancs.ac.uk,77
http://ria.revuesonline.com,76
https://www.base-search.net,76
http://www.easychair.org,76
https://edoc.ub.uni-muenchen.de,76
http://jite.org,75
https://ojs.bibsys.no,75
http://www.irit.fr,75
http://eu.wiley.com,74
http://www.lix.polytechnique.fr,74
http://archiv.ub.uni-marburg.de,73
http://www.oegai.at,73
http://atala.org,72
https://opus.bibliothek.uni-wuerzburg.de,72
http://pub.uni-bielefeld.de,72
http://www.icwsm.org,72
http://www.jsoftware.us,71
http://jcse.kiise.org,71
http://www.students.informatik.uni-luebeck.de,71
http://ctw2011.dia.uniroma3.it,71
http://www.icad.org,71
http://liris.cnrs.fr,71
http://ijebm-ojs.ie.nthu.edu.tw,70
http://publikationen.ub.uni-frankfurt.de,70
http://www.sub.uni-hamburg.de,70
http://www.csulb.edu,69
http://sro.sussex.ac.uk,69
http://dad.uni-bielefeld.de,68
https://ub-madoc.bib.uni-mannheim.de,68
https://proceedings.mlsys.org,68
http://mediatum.ub.tum.de,68
http://www.electronicmarkets.org,67
https://www.vde-verlag.de,67
http://www.sse-tubs.de,67
http://www.scit.wlv.ac.uk,66
http://www.computer.org,66
http://www-db.cs.wisc.edu,66
https://lmcs.episciences.org,65
http://dokumentix.ub.uni-siegen.de,65
http://firstmonday.org,64
http://bulletin.eatcs.org,64
http://www.ijcla.bahripublications.com,64
http://wwwvis.informatik.uni-stuttgart.de,64
http://ojs.bibsys.no,63
http://repositorio.ufba.br,63
https://www.db-thueringen.de,63
http://www.ijvr.org,62
https://periodicos.ufmg.br,62
https://collegepublications.co.uk,62
https://luca-giuzzi.unibs.it,62
http://epress.lib.uts.edu.au,62
http://www.adms-conf.org,62
http://isaim2008.unl.edu,62
http://www.ibis.uni-oldenburg.de,61
http://eldorado.tu-dortmund.de:8080,61
http://sylvester.bth.rwth-aachen.de,61
http://dspace.mit.edu,61
https://repositorio.ufpe.br,61
https://publikationen.uni-tuebingen.de,61
http://researchrepository.napier.ac.uk,61
http://opus.bibliothek.uni-augsburg.de,60
https://corpora.linguistik.uni-erlangen.de,60
http://www.uic.edu,59
http://web1.bib.uni-hildesheim.de,59
http://eprints.hud.ac.uk,59
http://veprints.unica.it,59
http://w210.ub.uni-tuebingen.de,58
http://www.jips-k.org,57
http://ismir2002.ismir.net,57
http://cgm.cs.mcgill.ca,57
http://eprints.bournemouth.ac.uk,57
http://ubdok.uni-paderborn.de,57
https://www.collegepublications.co.uk,56
http://archiv.ub.uni-heidelberg.de,56
http://www.kde.cs.uni-kassel.de,56
http://ejournals.wspc.com.sg,55
http://www.utica.edu,55
http://openaccess.city.ac.uk,55
http://digitool.abdn.ac.uk,55
http://www.academypublisher.com,54
http://geo.revuesonline.com,53
http://www.win.tue.nl,53
http://wotug.org,53
http://www.fullcycles.org,52
http://static.usenix.org,52
http://www.pims.math.ca,52
http://aass.oru.se,52
http://2012.cccg.ca,52
http://dbs.informatik.uni-halle.de,52
http://kups.ub.uni-koeln.de,52
https://hss-opus.ub.ruhr-uni-bochum.de,52
http://ixdea.uniroma2.it,51
http://colt2008.cs.helsinki.fi,51
http://isaim2018.cs.virginia.edu,51
http://splc2010.postech.ac.kr,51
http://epubs.surrey.ac.uk,51
https://www.ijcnis.org,50
http://docserv.uni-duesseldorf.de,50
http://bibserv7.bib.uni-mannheim.de,50
http://decsai.ugr.es,50
http://ismir2003.ismir.net,50
http://www.cs.umanitoba.ca,50
http://rosdok.uni-rostock.de,50
http://anytime.cs.umass.edu,50
https://repositorio.ufu.br,50
http://www.repositorio.ufc.br,50
http://hydra.hull.ac.uk,50
https://www.complex-systems.com,49
http://wwwiti.cs.uni-magdeburg.de,49
https://isca-speech.org,49
http://kluedo.ub.uni-kl.de,49
http://WWW.CQVIP.COM,48
http://bioinformatics.oupjournals.org,48
http://www.gil-net.de,48
http://www.satisfiability.org,48
http://www.puk-workshop.de,48
http://www.cs.queensu.ca,48
http://research.cs.queensu.ca,48
http://colt2010.haifa.il.ibm.com,48
http://opus4.kobv.de,48
http://www.ercim.org,47
http://ippserv.ugent.be,47
https://sapientia.pucsp.br,47
http://danae.uni-muenster.de,46
http://www.jrpit.acs.org.au,46
http://www.gamestudies.org,46
https://www.dagstuhl.de,46
http://www.lucs.lu.se,46
http://ecmr07.informatik.uni-freiburg.de,46
https://publikationsserver.tu-braunschweig.de,46
http://hsss.slub-dresden.de,46
https://ueaeprints.uea.ac.uk,46
http://repositorio.utfpr.edu.br,45
http://deposit.fernuni-hagen.de,45
http://www.pearson-studium.de,44
http://bookstore.siam.org,44
https://www.cscan.org,44
http://uncomp.uwe.ac.uk,44
http://www.carleton-scientific.com,44
http://www.softwarepreservation.org,44
http://www.cs.mcgill.ca,44
http://www.dafx14.fau.de,44
http://eldiss.uni-kiel.de,44
https://publications.rwth-aachen.de,44
http://repository.liv.ac.uk,44
http://gala.gre.ac.uk,44
http://research.i2r.a-star.edu.sg,43
http://quod.lib.umich.edu,43
http://www.cs.uleth.ca,43
http://ridi.ibict.br,43
http://intranet.minas.medellin.unal.edu.co,42
http://storageconference.org,42
http://www.vrsj.org,42
https://freidok.uni-freiburg.de,41
http://www.utia.cas.cz,41
https://www.linguistics.rub.de,41
https://www.freidok.uni-freiburg.de,41
https://cys.cic.ipn.mx,40
http://www.mitpressjournals.org,40
http://static.cambridge.org,40
http://www.crcpress.com,40
https://www.taylorfrancis.com,40
http://isaim2016.cs.virginia.edu,40
http://www.u-bourgogne.fr,40
http://uncertainty99.microsoft.com,40
http://oleg.lib.strath.ac.uk,40
https://iajit.org,39
http://diglib.uni-magdeburg.de,39
https://publikationen.bibliothek.kit.edu,39
http://infosecon.net,39
http://www.i-semantics.at,39
http://dspace.c3sl.ufpr.br:8080,39
http://www.e-ifi.org,38
http://e-ifi.org,38
http://www.cs.rpi.edu,38
http://csapps.essex.ac.uk,38
http://sebd2012.dei.unipd.it,38
http://www.bcs.org,38
http://web.archive.org,38
http://www.micai.org,37
https://publishup.uni-potsdam.de,37
http://www.ub.uni-konstanz.de,37
https://truthandtrustonline.com,37
http://usir.salford.ac.uk,37
http://www.shaker.de,36
